condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,likert,US-1942-EMERGENCY-PRICE-CONTROL,1942,natl_security,0.009573,0.129414
talkie_cpt,likert,US-1942-EO9066,1942,natl_security,0.010163,0.115857
talkie_cpt,likert,US-1943-CHINESE-EXCLUSION-REPEAL,1943,,0.006348,0.059782
talkie_cpt,likert,US-1944-GI-BILL,1944,labor_wages|social_welfare,0.004870,0.090249
talkie_cpt,likert,US-1944-KOREMATSU,1944,natl_security,0.008440,0.122018
talkie_cpt,likert,US-1945-BRETTON-WOODS,1945,finance_banking,0.000893,0.008331
talkie_cpt,likert,US-1945-UN-PARTICIPATION,1945,natl_security|finance_banking,0.001627,0.016431
talkie_cpt,likert,US-1946-EMPLOYMENT-ACT,1946,labor_wages,0.001414,0.012403
talkie_cpt,likert,US-1946-APA,1946,,0.000532,0.001135
talkie_cpt,likert,US-1947-NATIONAL-SECURITY-ACT,1947,natl_security|finance_banking,0.000638,-0.004607
talkie_cpt,likert,US-1947-TAFT-HARTLEY,1947,labor_wages,-0.000195,-0.014939
talkie_cpt,likert,US-1947-TRUMAN-DOCTRINE,1947,,0.000845,-0.001421
talkie_cpt,likert,US-1948-EO9981,1948,civil_rights,0.000517,-0.019393
talkie_cpt,likert,US-1948-DISPLACED-PERSONS-ACT,1948,natl_security,-0.000381,-0.020680
talkie_cpt,likert,US-1948-MARSHALL-PLAN,1948,,-0.001980,-0.027168
talkie_cpt,likert,US-1948-SHELLEY,1948,social_welfare,-0.002571,-0.036551
talkie_cpt,likert,US-1950-DPA,1950,natl_security,-0.002267,-0.016659
talkie_cpt,likert,US-1950-INTERNAL-SECURITY,1950,natl_security|finance_banking,-0.001493,-0.002735
talkie_cpt,likert,US-1951-DENNIS,1951,,-0.003860,-0.026311
talkie_cpt,likert,US-1952-INA,1952,,-0.002543,-0.000318
talkie_cpt,likert,US-1952-YOUNGSTOWN,1952,,-0.002236,0.008294
talkie_cpt,likert,US-1954-BROWN,1954,civil_rights,-0.004229,-0.035161
talkie_cpt,likert,US-1956-HIGHWAY,1956,,-0.001090,-0.018510
talkie_cpt,likert,US-1956-BANK-HOLDING-COMPANY-ACT,1956,finance_banking,-0.001731,-0.030194
talkie_cpt,likert,US-1957-CIVIL-RIGHTS-ACT,1957,civil_rights,0.000348,-0.003519
talkie_cpt,likert,US-1957-YATES,1957,,0.000197,-0.003357
talkie_cpt,likert,US-1957-EO10730,1957,civil_rights,-0.000159,-0.013055
talkie_cpt,likert,US-1958-NDEA,1958,natl_security,-0.000176,0.000828
talkie_cpt,likert,US-1958-NASA-ACT,1958,,-0.000104,0.001179
talkie_cpt,likert,US-1958-COOPER,1958,,-0.000319,-0.008648
talkie_cpt,likert,US-1961-MAPP,1961,,-0.001589,0.007411
talkie_cpt,likert,US-1961-PEACE-CORPS,1961,,-0.000787,0.008877
talkie_cpt,likert,US-1962-BAKER,1962,,-0.001580,-0.011431
talkie_cpt,likert,US-1962-ENGEL,1962,,0.000581,0.006746
talkie_cpt,likert,US-1962-KEFAUVER-HARRIS,1962,health_medical,-0.001872,-0.015659
talkie_cpt,likert,US-1963-EQUAL-PAY,1963,civil_rights|labor_wages,-0.000136,0.006310
talkie_cpt,likert,US-1963-GIDEON,1963,,-0.000730,0.002580
talkie_cpt,likert,US-1963-TEST-BAN-TREATY,1963,environment,0.000720,0.011895
talkie_cpt,likert,US-1964-24TH-AMENDMENT,1964,finance_banking,-0.001510,-0.030143
talkie_cpt,likert,US-1964-CIVIL-RIGHTS-ACT,1964,civil_rights|labor_wages,-0.000695,-0.008891
talkie_cpt,likert,US-1964-ECONOMIC-OPPORTUNITY,1964,natl_security,-0.001462,-0.035117
talkie_cpt,likert,US-1964-HEART-ATLANTA,1964,civil_rights,-0.002834,-0.035122
talkie_cpt,likert,US-1964-NYT-SULLIVAN,1964,,-0.004394,-0.065899
talkie_cpt,likert,US-1964-REYNOLDS,1964,civil_rights,-0.001597,-0.028857
talkie_cpt,likert,US-1964-TONKIN-GULF,1964,natl_security,-0.000587,-0.020759
talkie_cpt,likert,US-1965-ESEA,1965,,-0.001819,-0.020974
talkie_cpt,likert,US-1965-GRISWOLD,1965,civil_rights,-0.001714,-0.029731
talkie_cpt,likert,US-1965-HART-CELLER,1965,,-0.000949,-0.017228
talkie_cpt,likert,US-1965-MEDICARE-MEDICAID,1965,social_welfare,-0.002547,-0.027804
talkie_cpt,likert,US-1965-VRA,1965,civil_rights,-0.003070,-0.029242
talkie_cpt,likert,US-1966-FOIA,1966,,-0.002696,-0.010267
talkie_cpt,likert,US-1966-HARPER,1966,civil_rights|finance_banking,-0.002336,-0.022394
talkie_cpt,likert,US-1966-MIRANDA,1966,natl_security,-0.001561,-0.008307
talkie_cpt,likert,US-1967-KATZ,1967,natl_security,-0.002496,-0.003042
talkie_cpt,likert,US-1967-LOVING,1967,,-0.000135,0.008141
talkie_cpt,likert,US-1967-ADEA,1967,civil_rights|labor_wages,-0.001338,-0.012770
talkie_cpt,likert,US-1968-FAIR-HOUSING,1968,civil_rights|social_welfare,-0.000704,0.018783
talkie_cpt,likert,US-1968-GUN-CONTROL,1968,crim_justice,-0.001058,0.012156
talkie_cpt,likert,US-1968-TERRY,1968,,-0.000041,0.008890
talkie_cpt,likert,US-1968-OMNIBUS-CRIME-CONTROL,1968,natl_security|crim_justice,-0.000418,0.011241
talkie_cpt,likert,US-1968-TRUTH-IN-LENDING,1968,,0.000859,0.022609
talkie_cpt,likert,US-1969-BRANDENBURG,1969,,0.000735,-0.002402
talkie_cpt,likert,US-1969-NEPA,1969,environment,0.000995,0.004111
talkie_cpt,likert,US-1969-TINKER,1969,,0.001596,0.009154
talkie_cpt,likert,US-1970-CLEAN-AIR,1970,environment,0.002790,0.040590
talkie_cpt,likert,US-1970-CSA,1970,health_medical,0.002094,0.038718
talkie_cpt,likert,US-1970-OSHA,1970,labor_wages,0.002699,0.042938
talkie_cpt,likert,US-1970-FCRA,1970,,0.002370,0.038073
talkie_cpt,likert,US-1970-BANK-SECRECY,1970,crim_justice,0.003164,0.041433
talkie_cpt,likert,US-1971-26TH,1971,civil_rights,0.001555,0.004238
talkie_cpt,likert,US-1971-FECA,1971,,0.004012,0.026298
talkie_cpt,likert,US-1971-LEMON,1971,,0.003109,0.007681
talkie_cpt,likert,US-1971-PENTAGON-PAPERS,1971,,0.002410,0.006540
talkie_cpt,likert,US-1971-ANCSA,1971,finance_banking,0.002336,0.012738
talkie_cpt,likert,US-1972-CLEAN-WATER,1972,,0.002950,0.011349
talkie_cpt,likert,US-1972-FURMAN,1972,,0.003370,0.021727
talkie_cpt,likert,US-1972-TITLE-IX,1972,civil_rights,0.003889,0.011819
talkie_cpt,likert,US-1972-YODER,1972,,0.003093,0.026159
talkie_cpt,likert,US-1972-CPSA,1972,labor_wages,0.004222,0.028858
talkie_cpt,likert,US-1973-ESA,1973,,0.005974,0.028635
talkie_cpt,likert,US-1973-REHABILITATION,1973,civil_rights|labor_wages,0.003752,0.018244
talkie_cpt,likert,US-1973-RODRIGUEZ,1973,civil_rights,0.004278,0.013345
talkie_cpt,likert,US-1973-ROE,1973,,0.004486,0.018884
talkie_cpt,likert,US-1973-WAR-POWERS,1973,natl_security,0.003569,0.018209
talkie_cpt,likert,US-1974-ECOA,1974,civil_rights,0.006270,0.093793
talkie_cpt,likert,US-1974-ERISA,1974,social_welfare,0.007958,0.099157
